id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,a5,a6,answerMode,correctAnswers,displayMode
q01,Science,1,Image,S01,Image,Science/Nose,Science/Lung,Science/Heart,Science/Body,,,,OrderedSequence,"0,1,2,3",Floating
q02,Science,1,Image,S02,Image,AmDao,BuongTrung,TuCung,DuongVat,OngDanTinh,TinhHoan,VoiTrung,MultiSelect,"3,4,5",Floating
q03,Science,1,Image,S03,Image,AmDao,BuongTrung,TuCung,DuongVat,OngDanTinh,TinhHoan,VoiTrung,MultiSelect,"0,1,2,6",Floating
q04,Science,1,Image,S04,Image,S04.0,S04.1,S04.2,S04.3,S04.4,,,OrderedSequence,"0,1,2,3,4",Floating
q05,Science,1,Image,S05,Image,Co,ChauChau,Ech,Ran,ViKhuan,,,OrderedSequence,"0,1,2,3,4",Floating
q06,Science,1,Image,S05,Image,Lua,Chuot,Ran,DaiBang,ViKhuan2,,,OrderedSequence,"0,1,2,3,4",Floating
m01,Math,2,Image,M01,Text,1,4,2,8,5,7,,MultiSelect,"3,5",Floating
m02,Math,2,Image,M02,Text,1,4,2,8,5,7,,MultiSelect,"0,4,5",Floating
m03,Math,2,Image,M03,Text,"85,72","85,8","86,61","85,17","85,71","58,71",,MultiSelect,"0,1,2",Floating
m04,Math,2,Image,ChonSoTangDan,Text,"85,72","85,8","86,61","85,17","85,71","58,71",,OrderedSequence,"5,3,4,0,1,2",Floating
m05,Math,2,Image,ChonSoTangDan,Text,"57,28","57,82","75,09","75,19","75,28","75,82",,OrderedSequence,"0,1,2,3,4,5",Floating
m05,Math,2,Image,ChonSoTangDan,Text,"-57,28","-57,82","-75,09","75,19","75,28","75,82",,OrderedSequence,"0,1,2,3,4,5",Floating
m06,Math,2,Image,ChonSoTangDan,Text,-85,-58,-3,1,4,7,12,OrderedSequence,"0,1,2,3,4,5,6",Floating
m07,Math,2,Image,ChonSoTangDan,Text,-43,-42,-24,-2,12,18,23,OrderedSequence,"0,1,2,3,4,5,6",Floating
m08,Math,2,Image,ChonSoTangDan,Text,-14,-12,-8,3,5,8,12,OrderedSequence,"0,1,2,3,4,5,6",Floating
m09,Math,2,Image,M05,Text,"85,65","85,69","85,74","85,76","85,64","86,70",,MultiSelect,"0,1,2",Floating
m10,Math,1,Image,M06,Text,"57,09","57,49","56,5","57,5","57,99",,,MultiSelect,"0,1,2",Floating
