id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,answerMode,correctAnswers
M_M,Family,1,Image,mom,Text,A,O,E,I,,Single,1
D_D,Family,1,Image,dad,Text,A,E,I,O,,Single,0
S_STER,Family,1,Image,sister,Text,I,E,A,O,,Single,0
BR_THER,Family,1,Image,brother,Text,O,A,I,U,,Single,0
GR_NDMA,Family,1,Image,grandma,Text,A,O,E,I,,Single,0
GR_NDPA,Family,1,Image,grandpa,Text,A,O,E,I,,Single,0
B_BY,Family,1,Image,baby,Text,A,E,I,O,,Single,0
MO_,Family,1,Image,mom,Text,M,N,T,P,,Single,0
_AD,Family,1,Image,dad,Text,D,B,P,T,,Single,0
SIS_ER,Family,1,Image,sister,Text,T,P,D,M,,Single,0
BROTH_R,Family,1,Image,brother,Text,E,A,I,O,,Single,0
GRANDM_,Family,1,Image,grandma,Text,A,O,E,I,,Single,0
GRANDP_,Family,1,Image,grandpa,Text,A,E,O,I,,Single,0
BA_Y,Family,1,Image,baby,Text,B,D,P,T,,Single,0
_OM,Family,1,Image,mom,Text,M,N,P,T,,Single,0
DA_,Family,1,Image,dad,Text,D,B,P,T,,Single,0
_ISTER,Family,1,Image,sister,Text,S,T,P,D,,Single,0
B_OTHER,Family,1,Image,brother,Text,R,L,M,N,,Single,0
GRA_DMA,Family,1,Image,grandma,Text,N,M,R,T,,Single,0
GRA_DPA,Family,1,Image,grandpa,Text,N,R,M,T,,Single,0
