id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,answerMode,correctAnswers
q1,Family,1,Image,Family/thirsty,Text,He,hungry,is,thirsty,,OrderedSequence,"0,2,3"
q2,Family,1,Image,Family/hungry,Text,He,thirsty,is,hungry,,OrderedSequence,"0,2,3"
q3,Family,1,Image,Family/tired,Text,He,sad,is,tired,,OrderedSequence,"0,2,3"
q4,Family,1,Image,Family/sleepy,Text,She,tired,is,sleepy,,OrderedSequence,"0,2,3"
q5,Family,1,Image,Family/happy,Text,She,sad,is,happy,,OrderedSequence,"0,2,3"
q6,Family,1,Image,Family/sad,Text,He,happy,is,sad,,OrderedSequence,"0,2,3"
q7,Family,1,Image,Family/hot,Text,He,cold,is,hot,,OrderedSequence,"0,2,3"
q8,Family,1,Image,Family/cold,Text,She,hot,is,cold,,OrderedSequence,"0,2,3"
q9,Family,1,Image,Family/they_are/They_are_thirsty,Text,They,hungry,are,thirsty,,OrderedSequence,"0,2,3"
q10,Family,1,Image,Family/they_are/They_are_hungry,Text,They,thirsty,are,hungry,,OrderedSequence,"0,2,3"
q11,Family,1,Image,Family/they_are/They_are_tired,Text,They,sleepy,are,tired,,OrderedSequence,"0,2,3"
q12,Family,1,Image,Family/they_are/They_are_sleepy,Text,They,tired,are,sleepy,,OrderedSequence,"0,2,3"
q13,Family,1,Image,Family/they_are/They_are_happy,Text,They,sad,are,happy,,OrderedSequence,"0,2,3"
q14,Family,1,Image,Family/they_are/They_are_sad,Text,They,happy,are,sad,,OrderedSequence,"0,2,3"
q15,Family,1,Image,Family/they_are/They_are_hot,Text,They,cold,are,hot,,OrderedSequence,"0,2,3"
q16,Family,1,Image,Family/they_are/They_are_cold,Text,They,hot,are,cold,,OrderedSequence,"0,2,3"
