question_id,number_a,number_b,hidden_position,answer_1,answer_2,answer_3,correct_answer,image_type,difficulty
1,1,2,a,1,3,2,1,train,1
2,2,3,b,3,2,4,1,train,1
3,3,1,a,2,3,4,2,coin,1
4,1,4,b,4,3,5,1,coin,1
5,2,2,a,3,2,1,2,train,1
6,3,3,b,3,2,4,1,train,1
7,4,1,a,4,3,5,1,coin,1
8,1,3,b,3,4,2,1,coin,1
9,2,1,a,2,3,1,1,train,1
10,3,2,b,2,1,3,1,train,1
11,4,2,a,4,3,5,1,coin,1
12,2,4,b,4,3,5,1,coin,1
13,5,1,a,5,4,6,1,train,1
14,1,5,b,5,4,6,1,train,1
15,3,4,a,3,4,2,1,coin,1
16,4,3,b,3,2,4,1,coin,1
17,5,2,a,5,4,6,1,train,1
18,2,5,b,5,6,4,1,train,1
19,4,4,a,4,3,5,1,coin,1
20,3,5,b,5,4,6,1,coin,1
21,5,3,a,5,4,6,1,train,1
22,3,6,b,6,5,7,1,train,1
23,4,5,a,4,5,3,1,coin,1
24,5,4,b,4,3,5,1,coin,1
25,1,6,a,1,2,3,1,train,1
26,6,1,b,1,2,3,1,train,1
27,5,5,a,5,4,6,1,coin,1
28,2,6,b,6,5,7,1,coin,1
29,6,2,a,6,5,7,1,train,1
30,3,7,b,7,6,8,1,train,1
