id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,a5,a6,answerMode,correctAnswers,displayMode
q01,Animal,1,Audio,bear,Image,bear,parrot,jellyfish,buffalo,fox,,,Single,0,Floating
q02,Animal,1,Audio,boar,Image,boar,parrot,buffalo,tiger,fox,,,Single,0,Floating
q03,Animal,1,Audio,buffalo,Image,buffalo,wolf,hamster,fish,rabbit,,,Single,0,Floating
q04,Animal,1,Audio,capybara,Image,capybara,goldfish,rabbit,lion,skunk,,,Single,0,Floating
q05,Animal,1,Audio,cat,Image,cat,horse,cow,capybara,lion,,,Single,0,Floating
q06,Animal,1,Audio,chicken,Image,chicken,sheep,cow,skunk,starfish,,,Single,0,Floating
q07,Animal,1,Audio,cow,Image,cow,monkey,panda,red_panda,skunk,,,Single,0,Floating
q08,Animal,1,Audio,deer,Image,deer,goat,skunk,dolphin,monkey,,,Single,0,Floating
q09,Animal,1,Audio,dog,Image,dog,cat,hamster,squid,dolphin,,,Single,0,Floating
q10,Animal,1,Audio,dolphin,Image,dolphin,pig,squirrel,hedgehog,red_panda,,,Single,0,Floating
q11,Animal,1,Audio,fish,Image,fish,parrot,capybara,moose,lion,,,Single,0,Floating
q12,Animal,1,Audio,fox,Image,fox,chicken,cow,red_panda,owl,,,Single,0,Floating
q13,Animal,1,Audio,goat,Image,goat,cow,dog,jellyfish,dolphin,,,Single,0,Floating
q14,Animal,1,Audio,goldfish,Image,goldfish,octopus,dog,hamster,deer,,,Single,0,Floating
q15,Animal,1,Audio,hamster,Image,hamster,wolf,red_panda,goat,squirrel,,,Single,0,Floating
q16,Animal,1,Audio,hedgehog,Image,hedgehog,seahorse,deer,rabbit,hamster,,,Single,0,Floating
q17,Animal,1,Audio,horse,Image,horse,lion,goldfish,fox,hamster,,,Single,0,Floating
q18,Animal,1,Audio,jellyfish,Image,jellyfish,pig,goldfish,skunk,cow,,,Single,0,Floating
q19,Animal,1,Audio,lion,Image,lion,cow,fish,chicken,deer,,,Single,0,Floating
q20,Animal,1,Audio,monkey,Image,monkey,dolphin,tiger,horse,otter,,,Single,0,Floating
q21,Animal,1,Audio,moose,Image,moose,starfish,panda,capybara,wolf,,,Single,0,Floating
q22,Animal,1,Audio,octopus,Image,octopus,cat,dog,starfish,deer,,,Single,0,Floating
q23,Animal,1,Audio,otter,Image,otter,moose,bear,tiger,rabbit,,,Single,0,Floating
q24,Animal,1,Audio,owl,Image,owl,goat,pig,dog,goldfish,,,Single,0,Floating
q25,Animal,1,Audio,panda,Image,panda,hedgehog,red_panda,squirrel,otter,,,Single,0,Floating
q26,Animal,1,Audio,parrot,Image,parrot,capybara,cow,squid,otter,,,Single,0,Floating
q27,Animal,1,Audio,penguin,Image,penguin,seahorse,capybara,dog,tiger,,,Single,0,Floating
q28,Animal,1,Audio,pig,Image,pig,capybara,owl,fish,goldfish,,,Single,0,Floating
q29,Animal,1,Audio,rabbit,Image,rabbit,pig,chicken,penguin,wolf,,,Single,0,Floating
q30,Animal,1,Audio,red_panda,Image,red_panda,dog,chicken,boar,fox,,,Single,0,Floating
q31,Animal,1,Audio,seahorse,Image,seahorse,monkey,chicken,cow,penguin,,,Single,0,Floating
q32,Animal,1,Audio,sheep,Image,sheep,buffalo,horse,fish,penguin,,,Single,0,Floating
q33,Animal,1,Audio,skunk,Image,skunk,seahorse,owl,sheep,jellyfish,,,Single,0,Floating
q34,Animal,1,Audio,squid,Image,squid,starfish,moose,rabbit,wolf,,,Single,0,Floating
q35,Animal,1,Audio,squirrel,Image,squirrel,lion,penguin,owl,wolf,,,Single,0,Floating
q36,Animal,1,Audio,starfish,Image,starfish,moose,deer,owl,cow,,,Single,0,Floating
q37,Animal,1,Audio,tiger,Image,tiger,cow,parrot,squirrel,starfish,,,Single,0,Floating
q38,Animal,1,Audio,wolf,Image,wolf,otter,cow,starfish,octopus,,,Single,0,Floating
