id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,a5,a6,answerMode,correctAnswers,displayMode
ss001,SolarQuizVi,1,Audio,1,Text,,,,,,,, Single,0,SolarSystem
ss002,SolarQuizVi,1,Audio,2,Text,,,,,,,, Single,1,SolarSystem
ss003,SolarQuizVi,1,Audio,3,Text,,,,,,,, Single,2,SolarSystem
ss004,SolarQuizVi,1,Audio,4,Text,,,,,,,, Single,3,SolarSystem
ss005,SolarQuizVi,1,Audio,5,Text,,,,,,,, Single,4,SolarSystem
ss006,SolarQuizVi,1,Audio,6,Text,,,,,,,, Single,5,SolarSystem
ss007,SolarQuizVi,1,Audio,7,Text,,,,,,,, Single,6,SolarSystem
ss008,SolarQuizVi,1,Audio,8,Text,,,,,,,, Single,7,SolarSystem
ss009,SolarQuizVi,1,Audio,9,Text,,,,,,,, Single,2,SolarSystem
ss010,SolarQuizVi,1,Audio,10,Text,,,,,,,, Single,0,SolarSystem
ss011,SolarQuizVi,1,Audio,11,Text,,,,,,,, Single,0,SolarSystem
ss012,SolarQuizVi,1,Audio,12,Text,,,,,,,, Single,1,SolarSystem
ss013,SolarQuizVi,1,Audio,13,Text,,,,,,,, Single,2,SolarSystem
ss014,SolarQuizVi,1,Audio,14,Text,,,,,,,, Single,3,SolarSystem
ss015,SolarQuizVi,1,Audio,15,Text,,,,,,,, Single,4,SolarSystem
ss016,SolarQuizVi,1,Audio,16,Text,,,,,,,, Single,5,SolarSystem
ss017,SolarQuizVi,1,Audio,17,Text,,,,,,,, Single,6,SolarSystem
ss018,SolarQuizVi,1,Audio,18,Text,,,,,,,, Single,7,SolarSystem
ss019,SolarQuizVi,1,Audio,19,Text,,,,,,,, Single,3,SolarSystem
ss020,SolarQuizVi,1,Audio,20,Text,,,,,,,, Single,4,SolarSystem
ss021,SolarQuizVi,1,Audio,21,Text,,,,,,,, Single,0,SolarSystem
ss022,SolarQuizVi,1,Audio,22,Text,,,,,,,, Single,1,SolarSystem
ss023,SolarQuizVi,1,Audio,23,Text,,,,,,,, Single,2,SolarSystem
ss024,SolarQuizVi,1,Audio,24,Text,,,,,,,, Single,3,SolarSystem
ss025,SolarQuizVi,1,Audio,25,Text,,,,,,,, Single,4,SolarSystem
ss026,SolarQuizVi,1,Audio,26,Text,,,,,,,, Single,5,SolarSystem
ss027,SolarQuizVi,1,Audio,27,Text,,,,,,,, Single,6,SolarSystem
ss028,SolarQuizVi,1,Audio,28,Text,,,,,,,, Single,7,SolarSystem
ss029,SolarQuizVi,1,Audio,29,Text,,,,,,,, Single,4,SolarSystem
