id,topic,difficulty,questionMediaType,questionMediaValue,answerMediaType,a0,a1,a2,a3,a4,a5,a6,answerMode,correctAnswers,displayMode
q01,WaterAnimal,1,Audio,carp,Image,carp,starfish,dolphin,catfish,tilapia,,,Single,0,Floating
q02,WaterAnimal,1,Audio,catfish,Image,catfish,lobster,jellyfish,eel,tilapia,,,Single,0,Floating
q03,WaterAnimal,1,Audio,clownfish,Image,clownfish,dolphin,stingray,tilapia,shrimp,,,Single,0,Floating
q04,WaterAnimal,1,Audio,crab,Image,crab,clownfish,snakehead,sea_turtle,catfish,,,Single,0,Floating
q05,WaterAnimal,1,Audio,dolphin,Image,dolphin,carp,clownfish,goldfish,jellyfish,,,Single,0,Floating
q06,WaterAnimal,1,Audio,eel,Image,eel,shark,squid,carp,shrimp,,,Single,0,Floating
q07,WaterAnimal,1,Audio,frog,Image,frog,goldfish,tilapia,starfish,shrimp,,,Single,0,Floating
q08,WaterAnimal,1,Audio,goldfish,Image,goldfish,sea_turtle,jellyfish,seahorse,snakehead,,,Single,0,Floating
q09,WaterAnimal,1,Audio,jellyfish,Image,jellyfish,lobster,whale,carp,turtle,,,Single,0,Floating
q10,WaterAnimal,1,Audio,lobster,Image,lobster,whale,eel,tadpole,sea_turtle,,,Single,0,Floating
q11,WaterAnimal,1,Audio,octopus,Image,octopus,orca,jellyfish,dolphin,frog,,,Single,0,Floating
q12,WaterAnimal,1,Audio,orca,Image,orca,turtle,octopus,crab,clownfish,,,Single,0,Floating
q13,WaterAnimal,1,Audio,pleco,Image,pleco,pufferfish,crab,orca,squid,,,Single,0,Floating
q14,WaterAnimal,1,Audio,pufferfish,Image,pufferfish,jellyfish,whale,catfish,tilapia,,,Single,0,Floating
q15,WaterAnimal,1,Audio,sea_turtle,Image,sea_turtle,seahorse,shrimp,crab,pleco,,,Single,0,Floating
q16,WaterAnimal,1,Audio,seahorse,Image,seahorse,clownfish,shrimp,lobster,starfish,,,Single,0,Floating
q17,WaterAnimal,1,Audio,seal,Image,seal,squid,orca,snakehead,frog,,,Single,0,Floating
q18,WaterAnimal,1,Audio,shark,Image,shark,tadpole,clownfish,catfish,stingray,,,Single,0,Floating
q19,WaterAnimal,1,Audio,shrimp,Image,shrimp,goldfish,turtle,lobster,clownfish,,,Single,0,Floating
q20,WaterAnimal,1,Audio,snakehead,Image,snakehead,goldfish,crab,pleco,jellyfish,,,Single,0,Floating
q21,WaterAnimal,1,Audio,squid,Image,squid,sea_turtle,starfish,orca,eel,,,Single,0,Floating
q22,WaterAnimal,1,Audio,starfish,Image,starfish,orca,frog,stingray,jellyfish,,,Single,0,Floating
q23,WaterAnimal,1,Audio,stingray,Image,stingray,tadpole,starfish,squid,clownfish,,,Single,0,Floating
q24,WaterAnimal,1,Audio,tadpole,Image,tadpole,snakehead,squid,eel,shark,,,Single,0,Floating
q25,WaterAnimal,1,Audio,tilapia,Image,tilapia,tadpole,goldfish,eel,sea_turtle,,,Single,0,Floating
q26,WaterAnimal,1,Audio,turtle,Image,turtle,pleco,jellyfish,squid,stingray,,,Single,0,Floating
q27,WaterAnimal,1,Audio,whale,Image,whale,shark,goldfish,starfish,octopus,,,Single,0,Floating
q28,WaterAnimal,1,Audio,which_animals_live_in_freshwater,Image,starfish,pleco,orca,carp,frog,clownfish,,MultiSelect,"1,3,4",Floating
q29,WaterAnimal,1,Audio,which_animals_live_in_the_ocean,Image,lobster,frog,catfish,tadpole,shrimp,seahorse,,MultiSelect,"0,4,5",Floating
q30,WaterAnimal,1,Audio,which_fish_are_commonly_found_in_vietnam,Image,pufferfish,tilapia,eel,snakehead,orca,pleco,,MultiSelect,"1,2,3,5",Floating
q31,WaterAnimal,1,Audio,which_animals_are_crustaceans,Image,stingray,shrimp,lobster,seahorse,tilapia,crab,,MultiSelect,"1,2,5",Floating
q32,WaterAnimal,1,Audio,which_animals_can_live_both_in_water_and,Image,sea_turtle,squid,seal,turtle,shark,frog,,MultiSelect,"0,2,3,5",Floating
q33,WaterAnimal,1,Audio,which_fish_are_popular_as_aquarium_pets,Image,turtle,shrimp,carp,goldfish,octopus,clownfish,,MultiSelect,"3,5",Floating
q34,WaterAnimal,1,Audio,which_animals_squirt_ink_to_escape_preda,Image,whale,shrimp,squid,pleco,octopus,eel,,MultiSelect,"2,4",Floating
q35,WaterAnimal,1,Audio,which_animal_has_8_tentacles,Image,crab,whale,octopus,pleco,,,,Single,2,Floating
q36,WaterAnimal,1,Audio,which_animal_puffs_up_when_threatened,Image,clownfish,goldfish,snakehead,pufferfish,,,,Single,3,Floating
q37,WaterAnimal,1,Audio,which_is_the_largest_animal_in_the_ocean,Image,tilapia,shark,whale,clownfish,,,,Single,2,Floating
q38,WaterAnimal,1,Audio,which_animal_can_regrow_its_lost_arms,Image,shark,eel,starfish,jellyfish,,,,Single,2,Floating
q39,WaterAnimal,1,Audio,which_animal_is_known_as_the_killer_whal,Image,orca,pufferfish,tadpole,lobster,,,,Single,0,Floating
q40,WaterAnimal,1,Audio,which_animals_are_marine_mammals,Image,dolphin,seal,jellyfish,clownfish,orca,whale,,MultiSelect,"0,1,4,5",Floating
q41,WaterAnimal,1,Audio,which_animals_have_dangerous_venom,Image,jellyfish,stingray,pufferfish,snakehead,whale,dolphin,,MultiSelect,"0,1,2",Floating
q42,WaterAnimal,1,Audio,which_animals_have_a_hard_shell_for_prot,Image,seal,lobster,crab,tilapia,sea_turtle,turtle,,MultiSelect,"1,2,4,5",Floating
