question_id,correct_path,obstacle_left,obstacle_middle,obstacle_right,destination,theme,difficulty
1,middle,rock,none,tree,house,forest,1
2,left,none,water,rock,school,city,1
3,right,tree,wall,none,park,forest,1
4,middle,hole,none,rock,zoo,mountain,1
5,left,none,tree,water,market,city,1
6,right,wall,rock,none,library,city,1
7,middle,water,none,hole,house,ocean,1
8,left,none,rock,wall,school,mountain,1
9,right,hole,tree,none,park,forest,1
10,middle,tree,none,water,zoo,ocean,1
11,left,none,wall,tree,house,forest,2
12,right,rock,water,none,school,city,2
13,middle,tree,none,rock,market,mountain,2
14,left,none,hole,water,library,city,2
15,right,water,tree,none,park,ocean,2
16,middle,rock,none,wall,zoo,desert,2
17,left,none,rock,hole,house,mountain,2
18,right,wall,hole,none,school,city,2
19,middle,water,none,tree,market,forest,2
20,left,none,tree,rock,library,desert,2
21,right,hole,water,none,park,mountain,2
22,middle,tree,none,hole,zoo,forest,2
23,left,none,wall,water,house,ocean,2
24,right,rock,tree,none,school,desert,2
25,middle,wall,none,rock,market,city,2
26,left,none,rock,tree,house,forest,3
27,right,water,hole,none,school,ocean,3
28,middle,hole,none,wall,park,mountain,3
29,left,none,water,rock,zoo,desert,3
30,right,tree,rock,none,library,forest,3
31,middle,rock,none,water,market,ocean,3
32,left,none,hole,tree,house,mountain,3
33,right,wall,water,none,school,city,3
34,middle,tree,none,hole,park,desert,3
35,left,none,wall,rock,zoo,forest,3
36,right,rock,tree,none,library,mountain,3
37,middle,water,none,wall,market,ocean,3
38,left,none,rock,hole,house,desert,3
39,right,hole,wall,none,school,forest,3
40,middle,wall,none,tree,park,city,3
