template_id,entry,path,exit,difficulty
1,-1:1,0:1|1:1|2:1|3:1,4:1,1
2,-1:0,0:0|1:0|2:0|3:0,4:0,1
3,-1:2,0:2|1:2|2:2|3:2,4:2,1
4,-1:3,0:3|1:3|2:3|3:3,4:3,1
5,1:-1,1:0|1:1|1:2|1:3,1:4,1
6,2:-1,2:0|2:1|2:2|2:3,2:4,1
7,-1:0,0:0|0:1|1:1|2:1|3:1,4:1,1
8,-1:1,0:1|1:1|1:2|2:2|3:2,4:2,1
9,-1:0,0:0|0:1|0:2|1:2|2:2|3:2,4:2,1
10,-1:3,0:3|0:2|1:2|2:2|3:2,4:2,1
11,0:-1,0:0|0:1|0:2|0:3|1:3|2:3|3:3,4:3,1
12,-1:0,0:0|1:0|1:1|1:2|2:2|3:2,4:2,1
13,-1:2,0:2|1:2|1:1|1:0|2:0|3:0,4:0,1
14,0:-1,0:0|0:1|1:1|2:1|2:2|3:2,4:2,1
15,-1:1,0:1|0:2|0:3|1:3|2:3|3:3,4:3,1
16,3:-1,3:0|3:1|2:1|1:1|0:1,0:4,1
17,-1:0,0:0|1:0|2:0|2:1|2:2|2:3,2:4,1
18,0:-1,0:0|0:1|0:2|1:2|1:3|2:3|3:3,4:3,1
19,-1:3,0:3|1:3|2:3|2:2|2:1|3:1,4:1,1
20,-1:1,0:1|1:1|2:1|3:1|3:2|3:3,3:4,1
